user_id,non_duplicate,hashtags_prop,hashtags_per_twt_prop,mentions_prop,n_unique_mentions,replies_prop,urls_prop,qt_prop,media_prop,count_RT,avg_engagement,avg_days_between_tweets
1064,0.023280350189241482,0.023346113890341035,0.051258865588733916,0.0015564075926894022,0.07014794783952236,0.01011299581353114,0.00011691324639920393,3.6535389499751234e-05,0.001994832266686417,0.1636785449588855,0.9817936007931148,0.023382649279840788
473,0.0015548568899271303,0.0005664190984256119,0.0028632600714534715,0.000464317801713699,0.6892323724705127,0.000263518584846937,0.0005664190984256119,5.7371204819074844e-05,0.0001915614804975889,0.6410016646904092,0.3377258072971553,0.0023019923068186383
921,0.16781134657655783,0.15867911538506851,0.19150996750603952,0.00026393731767310137,0.8445994165539243,0.0080764819207969,0.15741221626023763,5.278746353462027e-05,0.0650869425381868,0.3378397666215697,0.15202789497970637,0.1740909001468293
422,0.003374097922922282,0.001955211673645105,0.007429310512381264,0.0009911836956673099,0.21615951280854218,0.00014256751786995554,0.0011914571136274858,0.00014596198258114482,0.0005397198890791173,0.9760953000260733,0.01768855561000806,0.011269796028123929
1059,0.005790244616999828,0.003997767390348849,0.010406916528909063,0.0009849571831294266,0.8227289412022268,0.0,0.005073253726339436,9.052915286116053e-06,0.0013289679640018366,0.5677988467451989,0.022398723000908338,0.0057938657831142736
522,0.0048963020444363695,7.520965522801947e-05,0.005312602051925074,0.0017482407613206975,0.9970651435943152,0.002454290585910268,2.148847292229128e-05,2.302336384531208e-05,0.0020905214371543367,0.07367476430499867,0.017878409471346342,0.006916406444959058
1489,0.0006618734845570393,0.00024760734674076295,0.0007732796189083009,0.0003136497745085751,0.004637462012536028,2.0702955413107268e-07,6.21088662393218e-07,0.0,0.0004422151276239712,0.9997043109881237,0.02383179306469017,0.0006624945732194325
275,0.006513969434640384,0.0017221306692830514,0.014415083270578215,0.0006880380215338903,0.9617428034847897,0.0029719985545546756,0.003578611958155561,0.00019541908303921155,0.002760294547928863,0.2486137859348436,0.11155172656821659,0.022698358543997533
19,0.3712382348032316,0.0018567714150833719,0.5570314245250115,0.00011604821344271074,0.37135428301667434,0.0,0.3711221865897889,0.0,0.00011604821344271074,0.37135428301667434,0.021236823060016063,0.37135428301667434
1206,0.0010148680218240599,4.482170180202971e-05,0.0015348608973413894,0.0006052565571806933,0.5573333244802458,0.0005097241708581189,0.0001783053100883663,0.0002031699037887624,0.00023686797156693073,0.6257240437845982,0.5457506769700469,0.0010207570045425746
596,0.0006539435756213787,0.00019119363452344874,0.0010791568191169385,0.00030366047836077154,0.18387306541549212,1.574535813722519e-05,6.563973976687386e-05,6.216349186644751e-05,0.00023188618347549827,0.9317980254507501,0.31295514730582913,0.0006543525459626054
754,0.00048031580223611926,0.00023725891755945537,0.0011107003412501,0.0003460470900481317,0.3233874139294244,1.1901090398480712e-05,0.00019148549294991415,5.7827093090053726e-05,9.047880264485982e-05,0.9461006782518576,0.01760567972948581,0.001561546368281659
404,0.0013152024535487217,8.842042761506415e-05,0.0015547457775126907,0.0006802204059317028,0.8948969790250213,0.0006066052592196261,9.417803685511484e-05,3.7013202257468714e-05,0.00016697066796146994,0.43823631472842955,0.08427083638419904,0.0013160249691544432
1332,0.03331498818857861,0.031045855866136715,0.2093716035107238,0.0015815164671564637,0.9661346574687796,0.005844734769926069,0.0033693176908985573,6.876158552853885e-05,0.028604819579873476,0.09994496456573582,0.09014643862791859,0.04113381194712256
554,0.0017246972032946058,0.00020443609090776572,0.0028149329118976065,0.0012600697239587744,0.5149113236594722,0.00039028708264209815,0.00016912440247824254,3.717019834686586e-06,0.00019700205123839238,0.8506474232077093,0.10590718763980937,0.006017475824619454
553,0.0012911077043244901,5.1912242326925026e-05,0.01106308764677861,0.0005526141925124276,0.9377695388089683,0.00045548806170721316,0.0045314363786019074,5.023765386476616e-06,0.00034663981166688647,0.3375970339712286,0.07830543107901101,0.01842730813869518
